##mmu	Mus musculus (mouse)
##Method: ID mapping (ensembl_gene_id)
##Summary:	285 succeed, 27 fail

#Query	Gene ID|Gene name|Hyperlink
ENSMUSG00000097318	mmu:100502742|1700007L15Rik, linc-Iqcg, linc1609|http://www.genome.jp/dbget-bin/www_bget?mmu:100502742
ENSMUSG00000114213	mmu:319803|A430090L17Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:319803
ENSMUSG00000056770	mmu:52690|Setd3, 2610102I01Rik, 2610305M23Rik, 6030490B17Rik, D12Ertd771e|http://www.genome.jp/dbget-bin/www_bget?mmu:52690
ENSMUSG00000079317	mmu:66226|Trappc2, 1110066L09Rik, 1810064C02Rik, AW496358, MIP-2A, Sedl, TRS20|http://www.genome.jp/dbget-bin/www_bget?mmu:66226
ENSMUSG00000013611	mmu:66696|Snx31, 4631426E05Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:66696
ENSMUSG00000017764	mmu:71971|Zswim1, 2410003H12Rik, AI850991, BB046916|http://www.genome.jp/dbget-bin/www_bget?mmu:71971
ENSMUSG00000068600	mmu:15202|Gml2, 1700057K19Rik, HemT, Hemt1|http://www.genome.jp/dbget-bin/www_bget?mmu:15202
ENSMUSG00000036120	mmu:19727|Rfxank, Tvl1|http://www.genome.jp/dbget-bin/www_bget?mmu:19727
ENSMUSG00000025140	mmu:209027|Pycr1, P5CR_1, P5CR1|http://www.genome.jp/dbget-bin/www_bget?mmu:209027
ENSMUSG00000027860	mmu:229658|Vangl1, Kitenin, Lpp2, Stb2, Stbm|http://www.genome.jp/dbget-bin/www_bget?mmu:229658
ENSMUSG00000053178	mmu:208595|Mterf1b, Gm9897|http://www.genome.jp/dbget-bin/www_bget?mmu:208595
ENSMUSG00000027318	mmu:110751|Adam33, Adaml|http://www.genome.jp/dbget-bin/www_bget?mmu:110751
ENSMUSG00000044367	mmu:69309|Slc16a13, 1700007D07Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:69309
ENSMUSG00000045954	mmu:20324|Cavin2, Sdpr|http://www.genome.jp/dbget-bin/www_bget?mmu:20324
ENSMUSG00000102051	None
ENSMUSG00000046949	mmu:18105|Nqo2, NMO2, Nmor2, Ox2|http://www.genome.jp/dbget-bin/www_bget?mmu:18105
ENSMUSG00000032816	mmu:56741|Igdcc4, DDM36, Nope|http://www.genome.jp/dbget-bin/www_bget?mmu:56741
ENSMUSG00000068114	mmu:76457|Ccdc134, 2310042L06Rik, AW208859|http://www.genome.jp/dbget-bin/www_bget?mmu:76457
ENSMUSG00000067931	mmu:381066|Zfp948|http://www.genome.jp/dbget-bin/www_bget?mmu:381066
ENSMUSG00000085133	None
ENSMUSG00000040434	mmu:228366|Large2, 5730485C17Rik, AI891893, Gyltl1b, Largel, mKIAA4105|http://www.genome.jp/dbget-bin/www_bget?mmu:228366
ENSMUSG00000039158	mmu:100182|Akna, AI597013|http://www.genome.jp/dbget-bin/www_bget?mmu:100182
ENSMUSG00000045284	mmu:245404|Dcaf12l1, 9330180J20, A230038L21Rik, Decaf12l1, Wdr40b|http://www.genome.jp/dbget-bin/www_bget?mmu:245404
ENSMUSG00000022901	mmu:12524|Cd86, B7, B7-2, B7.2, B70, CLS1, Cd28l2, ETC-1, Ly-58, Ly58, MB7, MB7-2, TS/A-2|http://www.genome.jp/dbget-bin/www_bget?mmu:12524
ENSMUSG00000004347	mmu:18575|Pde1c|http://www.genome.jp/dbget-bin/www_bget?mmu:18575
ENSMUSG00000097194	None
ENSMUSG00000085645	mmu:75395|Hoxb5os, 0610040B09Rik, AV302770, Hoxb5/6as|http://www.genome.jp/dbget-bin/www_bget?mmu:75395
ENSMUSG00000021929	mmu:16648|Kpna3, IPOA4|http://www.genome.jp/dbget-bin/www_bget?mmu:16648
ENSMUSG00000057103	mmu:66116|Nat8f1, 1110002I11Rik, AI266962, Cml1|http://www.genome.jp/dbget-bin/www_bget?mmu:66116
ENSMUSG00000050592	mmu:241303|Fam78a, A130092J06Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:241303
ENSMUSG00000066363	mmu:238393|Serpina3f, 2A1, BC049975|http://www.genome.jp/dbget-bin/www_bget?mmu:238393
ENSMUSG00000004637	mmu:80707|Wwox, 5330426P09Rik, 9030416C10Rik, WOX1|http://www.genome.jp/dbget-bin/www_bget?mmu:80707
ENSMUSG00000097493	None
ENSMUSG00000038170	mmu:83679|Pde4dip, 4732458A06Rik, 9430063L05Rik, C87016, D130016K21Rik, D3Bwg1078e, Usmg4, mKIAA0454|http://www.genome.jp/dbget-bin/www_bget?mmu:83679
ENSMUSG00000029650	mmu:71706|Slc46a3, 1200006F02Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:71706
ENSMUSG00000033669	mmu:223669|Zfp7, KRAB20, KRAB7, Krox-2, Zfp-7, Zfp65, Zfp80, Zfp86-rs1, mszf73-2|http://www.genome.jp/dbget-bin/www_bget?mmu:223669
ENSMUSG00000093861	None
ENSMUSG00000031937	mmu:69137|Vstm5, 2200002K05Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:69137
ENSMUSG00000003810	mmu:17776|Mast2, MAST205, Mtssk|http://www.genome.jp/dbget-bin/www_bget?mmu:17776
ENSMUSG00000022299	mmu:69906|Slc25a32, 2610043O12Rik, Mftc|http://www.genome.jp/dbget-bin/www_bget?mmu:69906
ENSMUSG00000064147	mmu:442827|Rab44, 9830134C10Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:442827
ENSMUSG00000032812	mmu:69710|Arap1, 2410002L19Rik, Centd2, mKIAA0782|http://www.genome.jp/dbget-bin/www_bget?mmu:69710
ENSMUSG00000022941	mmu:170765|Ripply3, Dscr6|http://www.genome.jp/dbget-bin/www_bget?mmu:170765
ENSMUSG00000025352	mmu:14561|Gdf11, BMP-11, Bmp11|http://www.genome.jp/dbget-bin/www_bget?mmu:14561
ENSMUSG00000034037	mmu:232237|Fgd5, C330025N11Rik, ZFYVE23, mFLJ00274|http://www.genome.jp/dbget-bin/www_bget?mmu:232237
ENSMUSG00000071715	mmu:17972|Ncf4, AI451400, p40phox|http://www.genome.jp/dbget-bin/www_bget?mmu:17972
ENSMUSG00000022438	mmu:170736|Parvb, AI595373, AW742462, D15Gsk1, affixin|http://www.genome.jp/dbget-bin/www_bget?mmu:170736
ENSMUSG00000036208	mmu:212547|Nepro|http://www.genome.jp/dbget-bin/www_bget?mmu:212547
ENSMUSG00000007379	mmu:329727|Dennd2c, A930010I20Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:329727
ENSMUSG00000068349	mmu:625599|Gml, EG625599, HemT|http://www.genome.jp/dbget-bin/www_bget?mmu:625599
ENSMUSG00000024679	mmu:68774|Ms4a6d, 1110058E16Rik, AI447446, Ms4a11|http://www.genome.jp/dbget-bin/www_bget?mmu:68774
ENSMUSG00000026580	mmu:20344|Selp, CD62P, GMP-140, Grmp, LECAM3, PADGEM|http://www.genome.jp/dbget-bin/www_bget?mmu:20344
ENSMUSG00000048038	mmu:329366|Ccdc187, 4932418E24Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:329366
ENSMUSG00000039759	mmu:69876|Thap3, 2010013E08Rik, 2210418H06Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:69876
ENSMUSG00000106767	None
ENSMUSG00000026389	mmu:68428|Steap3, 1010001D01Rik, Tsap6, pHyde|http://www.genome.jp/dbget-bin/www_bget?mmu:68428
ENSMUSG00000030231	mmu:109135|Plekha5, 2810431N21Rik, AI428202, AK129423, AMH-Cre, Ayu21-9, Gt(pU21)9Imeg, Pepp2, Tg(AMH-cre)1Flor|http://www.genome.jp/dbget-bin/www_bget?mmu:109135
ENSMUSG00000031722	mmu:15439|Hp, HP-1, preHP2|http://www.genome.jp/dbget-bin/www_bget?mmu:15439
ENSMUSG00000039963	mmu:207607|Ccdc40, B930008I02Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:207607
ENSMUSG00000056214	mmu:93737|Pard6g, 2410049N21Rik, Par6a|http://www.genome.jp/dbget-bin/www_bget?mmu:93737
ENSMUSG00000066721	mmu:101544|Zfp575, AI326876, Znf575|http://www.genome.jp/dbget-bin/www_bget?mmu:101544
ENSMUSG00000111189	None
ENSMUSG00000026072	mmu:16177|Il1r1, CD121a, CD121b, IL-1R1, IL-iR, Il1r-1|http://www.genome.jp/dbget-bin/www_bget?mmu:16177
ENSMUSG00000046658	mmu:54201|Zfp316, Emzf1, Mzf3, Znf316|http://www.genome.jp/dbget-bin/www_bget?mmu:54201
ENSMUSG00000056602	mmu:320365|Fry, 13CDNA73, 9330186A19Rik, AF346502, AI462658, C87180, D930046M03, cg003, mKIAA4143|http://www.genome.jp/dbget-bin/www_bget?mmu:320365
ENSMUSG00000098120	mmu:546100|Gm5914|http://www.genome.jp/dbget-bin/www_bget?mmu:546100
ENSMUSG00000025795	mmu:192678|Rassf3, AW212023, AW322379|http://www.genome.jp/dbget-bin/www_bget?mmu:192678
ENSMUSG00000073063	mmu:544763|Hbq1b, F830116E18Rik, Hbqt1|http://www.genome.jp/dbget-bin/www_bget?mmu:544763
ENSMUSG00000029484	mmu:11745|Anxa3, Anx3|http://www.genome.jp/dbget-bin/www_bget?mmu:11745
ENSMUSG00000036737	mmu:108737|Oxsr1, 2210022N24Rik, 2810422B09Rik, AI462649, AW209236, Osr1, mKIAA1101|http://www.genome.jp/dbget-bin/www_bget?mmu:108737
ENSMUSG00000031438	mmu:66889|Rnf128, 1300002C13Rik, AI987883, GRAIL, Greul1|http://www.genome.jp/dbget-bin/www_bget?mmu:66889
ENSMUSG00000037275	mmu:216766|Gemin5, AA407055, AA407208, AI451603, BB194447, C330013N08|http://www.genome.jp/dbget-bin/www_bget?mmu:216766
ENSMUSG00000074158	mmu:208111|Zfp976, 9830147E19Rik, C330019L16Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:208111
ENSMUSG00000031785	mmu:14766|Adgrg1, Cyt28, Gpr56, TM7LN4, TM7XN1|http://www.genome.jp/dbget-bin/www_bget?mmu:14766
ENSMUSG00000037872	mmu:13349|Ackr1, AA162249, CCBP1, CD234, Darc, Dfy, ESTM35, FY, GPD|http://www.genome.jp/dbget-bin/www_bget?mmu:13349
ENSMUSG00000000134	mmu:209446|Tfe3, F830016E06Rik, Tcfe3, Tfe-3, bHLHe33|http://www.genome.jp/dbget-bin/www_bget?mmu:209446
ENSMUSG00000059327	mmu:13607|Eda, EDA1, Ed1, Eda-A1, Eda-A2, HED, Ta, Tnlg7c, XLHED, tabby|http://www.genome.jp/dbget-bin/www_bget?mmu:13607
ENSMUSG00000054252	mmu:14184|Fgfr3, CD333, FR3, Fgfr-3, Flg-2, HBGFR, Mfr3, sam3|http://www.genome.jp/dbget-bin/www_bget?mmu:14184
ENSMUSG00000054150	mmu:212073|Syne3, KASH3, nesprin-3|http://www.genome.jp/dbget-bin/www_bget?mmu:212073
ENSMUSG00000028713	mmu:13120|Cyp4b1, CYPIVB1|http://www.genome.jp/dbget-bin/www_bget?mmu:13120
ENSMUSG00000038195	mmu:280408|Rilp, AI835553, Gm857|http://www.genome.jp/dbget-bin/www_bget?mmu:280408
ENSMUSG00000044562	mmu:69903|Rasip1, 1110025D03Rik, 2610025P08Rik, AI853551, Rain|http://www.genome.jp/dbget-bin/www_bget?mmu:69903
ENSMUSG00000020323	mmu:73106|Prss57, 2900092M14Rik, GLGL782, NSP4, Prssl1, UNQ782|http://www.genome.jp/dbget-bin/www_bget?mmu:73106
ENSMUSG00000056310	mmu:100929|Tyw1, AW125391, Rsafd1|http://www.genome.jp/dbget-bin/www_bget?mmu:100929
ENSMUSG00000032515	mmu:215418|Csrnp1, 4931429D10Rik, Axud1, CSRNP-1, URAX1, taip-3|http://www.genome.jp/dbget-bin/www_bget?mmu:215418
ENSMUSG00000040415	mmu:80904|Dtx3, Deltex3, mg310|http://www.genome.jp/dbget-bin/www_bget?mmu:80904
ENSMUSG00000037363	mmu:270035|Letm2, 6030453H13, D030041N04Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:270035
ENSMUSG00000069300	mmu:319183|Hist1h2bj|http://www.genome.jp/dbget-bin/www_bget?mmu:319183
ENSMUSG00000019467	mmu:52666|Arhgef25, 2410008H17Rik, D10Ertd610e, GEFT|http://www.genome.jp/dbget-bin/www_bget?mmu:52666
ENSMUSG00000067567	mmu:70315|Hdac8, 2610007D20Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:70315
ENSMUSG00000041658	mmu:245670|Rragb|http://www.genome.jp/dbget-bin/www_bget?mmu:245670
ENSMUSG00000049532	mmu:50524|Sall2, AI225809, AW559097, Msal-2, Sal-2, mKIAA0360, p150(Sal2)|http://www.genome.jp/dbget-bin/www_bget?mmu:50524
ENSMUSG00000073430	None
ENSMUSG00000052485	mmu:380863|Tmem171, Gm905|http://www.genome.jp/dbget-bin/www_bget?mmu:380863
ENSMUSG00000040177	mmu:68277|2310057M21Rik, 3110040E10Rik, AI429544|http://www.genome.jp/dbget-bin/www_bget?mmu:68277
ENSMUSG00000082292	None
ENSMUSG00000116249	None
ENSMUSG00000026249	mmu:20720|Serpine2, B230326M24Rik, PAI-1, PI-7, PI7, PN-1, Spi4|http://www.genome.jp/dbget-bin/www_bget?mmu:20720
ENSMUSG00000039176	mmu:18975|Polg, AA409516, PolgA|http://www.genome.jp/dbget-bin/www_bget?mmu:18975
ENSMUSG00000096883	mmu:435145|Shisa8, Orf26, ckamp39|http://www.genome.jp/dbget-bin/www_bget?mmu:435145
ENSMUSG00000032690	mmu:246728|Oas2, Oasl11|http://www.genome.jp/dbget-bin/www_bget?mmu:246728
ENSMUSG00000029386	None
ENSMUSG00000039145	mmu:227541|Camk1d, A630059D12Rik, CKLiK, CaMKIdelta, E030025C11Rik, mCKLiK|http://www.genome.jp/dbget-bin/www_bget?mmu:227541
ENSMUSG00000046916	mmu:68632|Myct1, 1110020B04Rik, AI225941, AI642973, Mtmc1|http://www.genome.jp/dbget-bin/www_bget?mmu:68632
ENSMUSG00000074457	mmu:67860|S100a16, 2300002L21Rik, AI325039, AI663996, DT1P1A7, S100F|http://www.genome.jp/dbget-bin/www_bget?mmu:67860
ENSMUSG00000111496	None
ENSMUSG00000048217	mmu:217214|Nags, 1700120E20Rik, argA|http://www.genome.jp/dbget-bin/www_bget?mmu:217214
ENSMUSG00000097154	None
ENSMUSG00000006307	mmu:75410|Kmt2b, 2610014H22Rik, Mll2, Wbp7, mKIAA0304|http://www.genome.jp/dbget-bin/www_bget?mmu:75410
ENSMUSG00000028641	mmu:56401|P3h1, 2410024C15Rik, Gros1, Lepre1|http://www.genome.jp/dbget-bin/www_bget?mmu:56401
ENSMUSG00000075600	mmu:223642|Zc3h3, BC049953, Kiaa0150, Smicl, Zc3hdc3|http://www.genome.jp/dbget-bin/www_bget?mmu:223642
ENSMUSG00000086968	mmu:329735|4933431E20Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:329735
ENSMUSG00000062591	mmu:22153|Tubb4a, AI325297, M(beta)4, Tubb, Tubb4|http://www.genome.jp/dbget-bin/www_bget?mmu:22153
ENSMUSG00000032290	mmu:56294|Ptpn9, MEG2|http://www.genome.jp/dbget-bin/www_bget?mmu:56294
ENSMUSG00000036882	mmu:233071|Arhgap33, AW324378, NOMA-GAP, Snx26, TCGAP|http://www.genome.jp/dbget-bin/www_bget?mmu:233071
ENSMUSG00000026596	mmu:11352|Abl2, AA536808, Abll, Arg|http://www.genome.jp/dbget-bin/www_bget?mmu:11352
ENSMUSG00000064023	mmu:259277|Klk8, BSP1, NP, Nrpn, Prss19|http://www.genome.jp/dbget-bin/www_bget?mmu:259277
ENSMUSG00000003452	mmu:12121|Bicd1, B830009D06Rik, bic-D_1|http://www.genome.jp/dbget-bin/www_bget?mmu:12121
ENSMUSG00000033948	mmu:74464|Zswim5, 4933426E21Rik, AI503093, mKIAA1511|http://www.genome.jp/dbget-bin/www_bget?mmu:74464
ENSMUSG00000094840	None
ENSMUSG00000018733	mmu:103737|Pex12, AI451906, OTTMUSCASG00059419, OTTMUSPWKG00059404|http://www.genome.jp/dbget-bin/www_bget?mmu:103737
ENSMUSG00000021786	mmu:71147|Oxsm, 4933425A18Rik, C80494|http://www.genome.jp/dbget-bin/www_bget?mmu:71147
ENSMUSG00000026638	mmu:54139|Irf6, AI876454, E230028I05Rik, mirf6|http://www.genome.jp/dbget-bin/www_bget?mmu:54139
ENSMUSG00000100594	mmu:102640772|2810414N06Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:102640772
ENSMUSG00000036564	mmu:234593|Ndrg4, D8Bwg1337e, Ndr1-rs, Ndr4, R74996, SMAP-8|http://www.genome.jp/dbget-bin/www_bget?mmu:234593
ENSMUSG00000024232	mmu:68010|Bambi, 2610003H06Rik|http://www.genome.jp/dbget-bin/www_bget?mmu:68010
ENSMUSG00000026887	mmu:67871|Mrrf, 2400002D02Rik, MRFF, MTRRF, RRF|http://www.genome.jp/dbget-bin/www_bget?mmu:67871
ENSMUSG00000029047	mmu:668173|Pex10, AV128229, Gm142|http://www.genome.jp/dbget-bin/www_bget?mmu:668173
ENSMUSG00000026435	mmu:212980|Slc45a3, 2210413P12Rik, AU023994, AU043764, IPCA-6, PRST, Pcanap6|http://www.genome.jp/dbget-bin/www_bget?mmu:212980
ENSMUSG00000017417	mmu:72324|Plxdc1, 2410003I07Rik, AI848450, Tem7|http://www.genome.jp/dbget-bin/www_bget?mmu:72324
ENSMUSG00000073910	mmu:214944|Mob3b, 8430436F23Rik, A430018A01Rik, Mobkl2b|http://www.genome.jp/dbget-bin/www_bget?mmu:214944
ENSMUSG00000022479	mmu:22337|Vdr, Nr1i1|http://www.genome.jp/dbget-bin/www_bget?mmu:22337
ENSMUSG00000030401	mmu:20167|Rtn2, MMS10-P, Ms10p, NSPLI, Nspl1|http://www.genome.jp/dbget-bin/www_bget?mmu:20167
ENSMUSG00000001964	mmu:13726|Emd, AW550900, Sta|http://www.genome.jp/dbget-bin/www_bget?mmu:13726
ENSMUSG00000059743	mmu:110196|Fdps, 6030492I17Rik, AI256750, Fdpsl1, mKIAA1293|http://www.genome.jp/dbget-bin/www_bget?mmu:110196
ENSMUSG00000024137	mmu:13560|E4f1, p120E4F, phi-AP3|http://www.genome.jp/dbget-bin/www_bget?mmu:13560
